,name,review_count,rating,price,cat1,zip_code,nyc,borough,cluster,is_affluent
14809,Enid's,3,2.0,1,bakeries,11226,True,Brooklyn,61,1
14811,Dunkin',13,2.0,1,donuts,11215,True,Brooklyn,11,1
14817,New Chung Mee Restaurant,3,1.5,1,chinese,11226,True,Brooklyn,61,1
14821,KFC,9,2.5,1,hotdogs,11203,True,Brooklyn,36,0
14823,Ruby's Palm Grove Takeout Restaurant,2,3.0,1,caribbean,11203,True,Brooklyn,36,0
14827,Hathaway House,1,5.0,4,landmarks,11226,True,Brooklyn,61,1
14835,Man DO Chinese Restaurant,5,1.5,1,chinese,11210,True,Brooklyn,19,1
14837,Ube Kitchen,1,3.0,1,filipino,11225,True,Brooklyn,61,1
14843,Kennedy's Fried Chicken,1,4.0,1,chicken_wings,11226,True,Brooklyn,61,1
14844,Golden Star Chinese Restaurant,2,4.0,1,chinese,11203,True,Brooklyn,36,0
14846,Lello's Pizza,6,1.5,1,pizza,11210,True,Brooklyn,19,1
14848,Wien Far Kitchen,1,3.0,1,chinese,11203,True,Brooklyn,36,0
14849,Cherry's Soulfood & International Deli,2,2.0,1,soulfood,11203,True,Brooklyn,36,0
14851,Family Garden,2,1.5,1,chinese,11218,True,Brooklyn,47,1
14853,Little Bandgladesh Restaurant,1,2.0,1,restaurants,11218,True,Brooklyn,47,1
14855,Munch Box,3,1.5,1,hotdogs,11215,True,Brooklyn,11,1
14856,Chimi Monumental,2,3.5,1,dominican,11208,True,Brooklyn,29,0
14860,1 New Dragon Garden,1,3.0,1,restaurants,11215,True,Brooklyn,11,1
14869,Golden Krust Caribbean Restaurant - Temporarily Closed,8,1.5,2,bakeries,11225,True,Brooklyn,61,1
14870,China Express,1,2.0,1,chinese,11203,True,Brooklyn,36,0
14876,Nish Nush,710,4.5,2,vegetarian,10013,True,Manhattan,77,1
14877,Takahachi Bakery,893,4.0,2,bakeries,10007,True,Manhattan,0,1
14878,1803,351,4.5,2,cajun,10007,True,Manhattan,0,1
14879,City Vineyard,807,4.0,2,wine_bars,10013,True,Manhattan,77,1
14881,Tiny's & The Bar Upstairs,575,4.0,2,bars,10013,True,Manhattan,77,1
14883,Gran Morsi,355,4.5,3,italian,10007,True,Manhattan,0,1
14884,Laughing Man Coffee & Tea,229,4.5,2,coffee,10013,True,Manhattan,77,1
14885,Terroir Tribeca,280,4.0,2,wine_bars,10013,True,Manhattan,77,1
14886,Ward III,449,4.0,2,lounges,10013,True,Manhattan,77,1
14887,Kaffe 1668 South,689,4.0,2,coffee,10007,True,Manhattan,0,1
14888,Bo Ky Restaurant,738,3.5,1,chinese,10013,True,Manhattan,77,1
14889,Hank's Juicy Beef,249,4.5,2,newamerican,10007,True,Manhattan,0,1
14890,Walker's,291,4.0,2,diners,10013,True,Manhattan,77,1
14891,Tribeca Grill,602,3.5,3,newamerican,10013,True,Manhattan,77,1
14892,Hop Kee,791,3.5,2,seafood,10013,True,Manhattan,77,1
14893,Vivi Bubble Tea,641,4.0,1,bubbletea,10013,True,Manhattan,77,1
14894,Benares,501,4.0,2,indpak,10007,True,Manhattan,0,1
14895,Two Hands,314,3.5,2,breakfast_brunch,10013,True,Manhattan,77,1
14896,Smith & Mills,280,4.0,2,lounges,10013,True,Manhattan,77,1
14897,Shanghai Asian Cuisine,489,4.0,2,shanghainese,10013,True,Manhattan,77,1
14898,Sarabeth's Tribeca,697,3.5,2,breakfast_brunch,10013,True,Manhattan,77,1
14899,Aahar Indian Cuisine,307,4.5,2,indpak,10007,True,Manhattan,0,1
14900,New Malaysia,700,3.5,2,malaysian,10013,True,Manhattan,77,1
14901,Mulberry & Vine,314,4.0,2,newamerican,10007,True,Manhattan,0,1
14902,Dark Horse,393,4.0,2,tradamerican,10007,True,Manhattan,0,1
14903,Deluxe Green Bo,633,3.5,1,chinese,10013,True,Manhattan,77,1
14904,Juicy Spot Cafe,240,4.5,2,juicebars,10013,True,Manhattan,77,1
14905,Terra Wine Bar,361,3.5,2,tapasmallplates,10013,True,Manhattan,77,1
14906,Frenchette,236,3.5,4,brasseries,10013,True,Manhattan,77,1
14907,Interlude Coffee & Tea,42,5.0,2,coffee,10013,True,Manhattan,77,1
14908,T-Swirl Crêpe,217,4.5,1,desserts,10013,True,Manhattan,77,1
14909,Little Park,368,4.0,3,newamerican,10007,True,Manhattan,0,1
14910,Anotheroom,155,4.0,2,lounges,10013,True,Manhattan,77,1
14911,Cha Chan Tang 茶餐廳,1028,3.0,1,chinese,10013,True,Manhattan,77,1
14912,Ping's Seafood,658,3.5,2,seafood,10013,True,Manhattan,77,1
14913,Taiwan Pork Chop House,453,4.0,1,taiwanese,10013,True,Manhattan,77,1
14914,Fried Dumpling,518,3.5,1,chinese,10013,True,Manhattan,77,1
14915,21 Shanghai House,429,4.0,2,shanghainese,10002,True,Manhattan,77,1
14916,Max,444,3.5,2,italian,10013,True,Manhattan,77,1
14917,Los Tacos No. 1,121,4.5,1,tacos,10007,True,Manhattan,0,1
14918,M1-5 Lounge,468,3.0,2,lounges,10013,True,Manhattan,77,1
14919,Thailicious,286,4.0,2,thai,10013,True,Manhattan,77,1
14920,Belle Reve,160,4.0,2,bars,10013,True,Manhattan,77,1
14921,Antique Garage Tribeca,95,4.0,3,mediterranean,10013,True,Manhattan,77,1
14922,AOA Bar & Grill,353,3.0,2,tradamerican,10013,True,Manhattan,77,1
